target_end_date,location,target,observation
2020-02-01,35,cum death,0
2020-02-01,36,cum death,0
2020-02-01,37,cum death,0
2020-02-01,38,cum death,0
2020-02-01,39,cum death,1
2020-02-01,40,cum death,0
2020-02-01,41,cum death,0
2020-02-01,42,cum death,0
2020-02-01,44,cum death,0
2020-02-01,45,cum death,0
2020-02-01,46,cum death,0
2020-02-01,47,cum death,0
2020-02-01,48,cum death,0
2020-02-01,49,cum death,0
2020-02-01,50,cum death,0
2020-02-01,51,cum death,0
2020-02-01,53,cum death,0
2020-02-01,54,cum death,0
2020-02-01,55,cum death,0
2020-02-01,56,cum death,0
2020-02-01,60,cum death,0
2020-02-01,66,cum death,0
2020-02-01,69,cum death,0
2020-02-01,72,cum death,0
2020-02-01,78,cum death,0
2020-02-01,US,cum death,1
2020-02-08,01,cum death,0
2020-02-08,02,cum death,0
2020-02-08,04,cum death,0
2020-02-08,05,cum death,0
2020-02-08,06,cum death,0
2020-02-08,08,cum death,0
2020-02-08,09,cum death,0
2020-02-08,10,cum death,0
2020-02-08,11,cum death,0
2020-02-08,12,cum death,0
2020-02-08,13,cum death,0
2020-02-08,15,cum death,0
2020-02-08,16,cum death,0
2020-02-08,17,cum death,0
2020-02-08,18,cum death,0
2020-02-08,19,cum death,0
2020-02-08,20,cum death,0
2020-02-08,21,cum death,0
2020-02-08,22,cum death,0
2020-02-08,23,cum death,0
2020-02-08,24,cum death,0
2020-02-08,25,cum death,0
2020-02-08,26,cum death,0
2020-02-08,27,cum death,0
2020-02-08,28,cum death,0
2020-02-08,29,cum death,0
2020-02-08,30,cum death,0
2020-02-08,31,cum death,0
2020-02-08,32,cum death,0
2020-02-08,33,cum death,0
2020-02-08,34,cum death,0
2020-02-08,35,cum death,0
2020-02-08,36,cum death,0
2020-02-08,37,cum death,0
2020-02-08,38,cum death,0
2020-02-08,39,cum death,1
2020-02-08,40,cum death,0
2020-02-08,41,cum death,0
2020-02-08,42,cum death,0
2020-02-08,44,cum death,0
2020-02-08,45,cum death,0
2020-02-08,46,cum death,0
2020-02-08,47,cum death,0
2020-02-08,48,cum death,0
2020-02-08,49,cum death,0
2020-02-08,50,cum death,0
2020-02-08,51,cum death,0
2020-02-08,53,cum death,0
2020-02-08,54,cum death,0
2020-02-08,55,cum death,0
2020-02-08,56,cum death,0
2020-02-08,60,cum death,0
2020-02-08,66,cum death,0
2020-02-08,69,cum death,0
2020-02-08,72,cum death,0
2020-02-08,78,cum death,0
2020-02-08,US,cum death,1
2020-02-15,01,cum death,0
2020-02-15,02,cum death,0
2020-02-15,04,cum death,0
2020-02-15,05,cum death,0
2020-02-15,06,cum death,0
2020-02-15,08,cum death,0
2020-02-15,09,cum death,0
2020-02-15,10,cum death,0
2020-02-15,11,cum death,0
2020-02-15,12,cum death,0
2020-02-15,13,cum death,0
2020-02-15,15,cum death,0
2020-02-15,16,cum death,0
2020-02-15,17,cum death,0
