file,n_groups_before,n_groups_after,n_groups_unchanged,n_groups_filled,n_groups_dropped,n_rows_before,n_rows_after,n_rows_added,n_rows_dropped,min_anchors_used,status
UMich-RidgeTfReg/2020-09-21-UMich-RidgeTfReg.parquet,612,612,408,204,0,11220,11424,204,0,6,ok
AIpert-pwllnod/2021-03-15-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-09-28-UMich-RidgeTfReg.parquet,612,612,408,204,0,11220,11424,204,0,6,ok
AIpert-pwllnod/2021-03-22-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
IowaStateLW-STEM/2020-04-26-IowaStateLW-STEM.parquet,882,0,0,0,882,2646,882,0,1764,NA,ok
UMich-RidgeTfReg/2020-10-05-UMich-RidgeTfReg.parquet,612,612,408,204,0,11220,11424,204,0,6,ok
AIpert-pwllnod/2021-03-29-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
IowaStateLW-STEM/2020-05-01-IowaStateLW-STEM.parquet,900,0,0,0,900,2700,900,0,1800,NA,ok
UMich-RidgeTfReg/2020-10-12-UMich-RidgeTfReg.parquet,612,612,408,204,0,11220,11424,204,0,6,ok
AIpert-pwllnod/2021-04-05-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-10-19-UMich-RidgeTfReg.parquet,612,612,408,204,0,11220,11424,204,0,6,ok
AIpert-pwllnod/2021-04-12-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-10-26-UMich-RidgeTfReg.parquet,612,612,408,204,0,11220,11424,204,0,6,ok
AIpert-pwllnod/2021-04-19-AIpert-pwllnod.parquet,896,0,0,0,896,4478,896,0,3582,NA,ok
UMich-RidgeTfReg/2020-11-02-UMich-RidgeTfReg.parquet,612,612,408,204,0,11220,11424,204,0,6,ok
AIpert-pwllnod/2021-04-26-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
UMich-RidgeTfReg/2020-11-09-UMich-RidgeTfReg.parquet,612,612,408,204,0,11220,11424,204,0,6,ok
AIpert-pwllnod/2021-05-03-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-05-10-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-05-17-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-05-24-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-05-31-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-06-07-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-06-14-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-06-21-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-06-28-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-07-05-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
AIpert-pwllnod/2021-07-12-AIpert-pwllnod.parquet,896,0,0,0,896,4480,896,0,3584,NA,ok
COVIDhub_CDC-ensemble/2020-04-13-COVIDhub_CDC-ensemble.parquet,312,0,0,0,312,1248,312,0,936,NA,ok
QJHong-Encounter/2020-07-01-QJHong-Encounter.parquet,4,0,0,0,4,12,4,0,8,NA,ok
QJHong-Encounter/2020-07-03-QJHong-Encounter.parquet,5,0,0,0,5,15,5,0,10,NA,ok
QJHong-Encounter/2020-07-08-QJHong-Encounter.parquet,5,0,0,0,5,15,5,0,10,NA,ok
QJHong-Encounter/2020-07-10-QJHong-Encounter.parquet,5,0,0,0,5,15,5,0,10,NA,ok
Columbia_UNC-SurvCon/2021-02-14-Columbia_UNC-SurvCon.parquet,888,888,886,2,0,21182,21184,2,0,22,ok
QJHong-Encounter/2020-07-11-QJHong-Encounter.parquet,12,0,0,0,12,36,12,0,24,NA,ok
COVIDhub-4_week_ensemble/2020-04-13-COVIDhub-4_week_ensemble.parquet,312,0,0,0,312,1248,312,0,936,NA,ok
QJHong-Encounter/2020-07-18-QJHong-Encounter.parquet,10,0,0,0,10,50,10,0,40,NA,ok
QJHong-Encounter/2020-07-25-QJHong-Encounter.parquet,12,0,0,0,12,60,12,0,48,NA,ok
QJHong-Encounter/2020-07-27-QJHong-Encounter.parquet,17,0,0,0,17,75,17,0,58,NA,ok
QJHong-Encounter/2020-08-03-QJHong-Encounter.parquet,17,0,0,0,17,75,17,0,58,NA,ok
QJHong-Encounter/2020-08-10-QJHong-Encounter.parquet,17,0,0,0,17,75,17,0,58,NA,ok
QJHong-Encounter/2020-08-17-QJHong-Encounter.parquet,17,0,0,0,17,75,17,0,58,NA,ok
QJHong-Encounter/2020-08-23-QJHong-Encounter.parquet,17,0,0,0,17,75,17,0,58,NA,ok
QJHong-Encounter/2020-08-30-QJHong-Encounter.parquet,17,0,0,0,17,75,17,0,58,NA,ok
QJHong-Encounter/2020-09-06-QJHong-Encounter.parquet,17,0,0,0,17,75,17,0,58,NA,ok
QJHong-Encounter/2020-09-13-QJHong-Encounter.parquet,19,0,0,0,19,85,19,0,66,NA,ok
QJHong-Encounter/2020-09-20-QJHong-Encounter.parquet,19,0,0,0,19,85,19,0,66,NA,ok
QJHong-Encounter/2020-09-27-QJHong-Encounter.parquet,19,0,0,0,19,85,19,0,66,NA,ok
QJHong-Encounter/2020-10-04-QJHong-Encounter.parquet,21,0,0,0,21,95,21,0,74,NA,ok
QJHong-Encounter/2020-10-11-QJHong-Encounter.parquet,21,0,0,0,21,95,21,0,74,NA,ok
QJHong-Encounter/2020-10-18-QJHong-Encounter.parquet,20,0,0,0,20,90,20,0,70,NA,ok
QJHong-Encounter/2020-10-25-QJHong-Encounter.parquet,23,0,0,0,23,105,23,0,82,NA,ok
QJHong-Encounter/2020-11-01-QJHong-Encounter.parquet,21,0,0,0,21,95,21,0,74,NA,ok
QJHong-Encounter/2020-11-08-QJHong-Encounter.parquet,23,0,0,0,23,105,23,0,82,NA,ok
Google_Harvard-CPF/2020-12-27-Google_Harvard-CPF.parquet,1581,0,0,0,1581,19296,14553,0,4743,NA,ok
LNQ-ens1/2020-07-19-LNQ-ens1.parquet,228,228,0,228,0,1824,5472,3648,0,7,ok
QJHong-Encounter/2020-11-15-QJHong-Encounter.parquet,25,0,0,0,25,115,25,0,90,NA,ok
LNQ-ens1/2020-07-26-LNQ-ens1.parquet,13024,13024,12796,228,0,104192,107840,3648,0,7,ok
QJHong-Encounter/2020-11-22-QJHong-Encounter.parquet,23,0,0,0,23,105,23,0,82,NA,ok
LNQ-ens1/2020-08-02-LNQ-ens1.parquet,13024,13024,12796,228,0,104192,107840,3648,0,7,ok
QJHong-Encounter/2020-11-29-QJHong-Encounter.parquet,21,0,0,0,21,95,21,0,74,NA,ok
LNQ-ens1/2020-08-09-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-08-16-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
COVIDhub-ensemble/2020-04-13-COVIDhub-ensemble.parquet,312,0,0,0,312,1248,312,0,936,NA,ok
LNQ-ens1/2020-08-23-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-08-30-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-09-06-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-09-13-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-09-20-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-09-27-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-10-04-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-10-11-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-10-18-LNQ-ens1.parquet,13252,13252,12796,456,0,106016,113312,7296,0,7,ok
LNQ-ens1/2020-10-25-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
Covid19Sim-Simulator/2020-08-16-Covid19Sim-Simulator.parquet,3214,3214,3043,171,0,74065,74960,895,0,17,ok
LNQ-ens1/2020-11-01-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2020-11-08-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2020-11-15-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2020-11-22-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2020-11-29-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2020-12-06-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2020-12-13-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2020-12-20-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2020-12-27-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2021-01-03-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2021-01-10-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2021-01-17-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
LNQ-ens1/2021-01-24-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
IHME-CurveFit/2020-03-27-IHME-CurveFit.parquet,936,0,0,0,936,2808,936,0,1872,NA,ok
LNQ-ens1/2021-01-31-LNQ-ens1.parquet,13248,13248,12792,456,0,105984,113280,7296,0,7,ok
IHME-CurveFit/2020-03-29-IHME-CurveFit.parquet,936,0,0,0,936,2808,936,0,1872,NA,ok
IHME-CurveFit/2020-03-30-IHME-CurveFit.parquet,936,0,0,0,936,2808,936,0,1872,NA,ok
IHME-CurveFit/2020-03-31-IHME-CurveFit.parquet,884,0,0,0,884,2652,884,0,1768,NA,ok
IHME-CurveFit/2020-04-01-IHME-CurveFit.parquet,884,0,0,0,884,2652,884,0,1768,NA,ok
IHME-CurveFit/2020-04-05-IHME-CurveFit.parquet,884,0,0,0,884,2652,884,0,1768,NA,ok
IHME-CurveFit/2020-04-07-IHME-CurveFit.parquet,832,0,0,0,832,2496,832,0,1664,NA,ok
IHME-CurveFit/2020-04-09-IHME-CurveFit.parquet,832,0,0,0,832,2496,832,0,1664,NA,ok
IHME-CurveFit/2020-04-12-IHME-CurveFit.parquet,832,0,0,0,832,2496,832,0,1664,NA,ok
IHME-CurveFit/2020-04-16-IHME-CurveFit.parquet,780,0,0,0,780,2340,780,0,1560,NA,ok
IHME-CurveFit/2020-04-20-IHME-CurveFit.parquet,780,0,0,0,780,2340,780,0,1560,NA,ok
IHME-CurveFit/2020-04-21-IHME-CurveFit.parquet,742,0,0,0,742,2226,742,0,1484,NA,ok
Auquan-SEIR/2020-07-05-Auquan-SEIR.parquet,416,416,0,416,0,3328,9984,6656,0,7,ok
IHME-CurveFit/2020-04-27-IHME-CurveFit.parquet,716,0,0,0,716,2148,716,0,1432,NA,ok
Auquan-SEIR/2020-08-02-Auquan-SEIR.parquet,208,208,0,208,0,1664,4992,3328,0,7,ok
IHME-CurveFit/2020-04-28-IHME-CurveFit.parquet,572,0,0,0,572,1716,572,0,1144,NA,ok
Auquan-SEIR/2020-08-09-Auquan-SEIR.parquet,208,208,0,208,0,1664,4992,3328,0,7,ok
IHME-CurveFit/2020-05-04-IHME-CurveFit.parquet,848,0,0,0,848,2544,848,0,1696,NA,ok
Auquan-SEIR/2020-08-16-Auquan-SEIR.parquet,416,416,0,416,0,3328,9984,6656,0,7,ok
IHME-CurveFit/2020-05-08-IHME-CurveFit.parquet,743,0,0,0,743,2229,743,0,1486,NA,ok
Auquan-SEIR/2020-08-24-Auquan-SEIR.parquet,416,416,0,416,0,3328,9984,6656,0,7,ok
CovidActNow-SEIR_CAN/2020-07-05-CovidActNow-SEIR_CAN.parquet,618,618,312,306,0,9936,14832,4896,0,7,ok
LANL-GrowthRate/2020-04-06-LANL-GrowthRate.parquet,371,371,0,371,0,8162,8904,742,0,21,ok
LANL-GrowthRate/2020-04-09-LANL-GrowthRate.parquet,318,318,0,318,0,6996,7632,636,0,21,ok
UChicagoCHATTOPADHYAY-UnIT/2020-11-08-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2020-11-15-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2020-11-22-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2020-11-29-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2020-12-06-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2020-12-13-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2020-12-20-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-01-03-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-01-10-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-01-17-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-01-24-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-01-31-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-02-07-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-02-21-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-02-28-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-03-07-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-03-14-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-03-21-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-04-04-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-04-18-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UMass-MechBayes/2021-08-15-UMass-MechBayes.parquet,456,456,0,456,0,10488,10944,456,0,22,ok
UChicagoCHATTOPADHYAY-UnIT/2021-04-25-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UMass-MechBayes/2021-08-22-UMass-MechBayes.parquet,456,456,0,456,0,10488,10944,456,0,22,ok
UChicagoCHATTOPADHYAY-UnIT/2021-05-02-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-05-09-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-05-16-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-05-23-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-05-30-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-06-06-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-06-20-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-06-27-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-07-11-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-07-25-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-08-08-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-08-15-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-08-22-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-08-29-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-09-05-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-09-12-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-09-19-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-10-10-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
MOBS-GLEAM_COVID/2020-04-13-MOBS-GLEAM_COVID.parquet,180,0,0,0,180,720,180,0,540,NA,ok
UChicagoCHATTOPADHYAY-UnIT/2021-10-17-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
MOBS-GLEAM_COVID/2020-04-20-MOBS-GLEAM_COVID.parquet,360,360,0,360,0,2880,8640,5760,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-10-24-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
JHU_UNC_GAS-StatMechPool/2020-10-25-JHU_UNC_GAS-StatMechPool.parquet,6216,6216,6012,204,0,49728,52992,3264,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-10-31-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
JHU_UNC_GAS-StatMechPool/2020-11-01-JHU_UNC_GAS-StatMechPool.parquet,6420,6420,0,6420,0,38520,57888,19368,0,5,ok
UChicagoCHATTOPADHYAY-UnIT/2021-11-07-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
JHU_UNC_GAS-StatMechPool/2020-11-08-JHU_UNC_GAS-StatMechPool.parquet,6232,6232,6028,204,0,49856,53120,3264,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-11-14-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-11-21-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-11-28-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-12-12-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-12-19-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
UChicagoCHATTOPADHYAY-UnIT/2021-12-26-UChicagoCHATTOPADHYAY-UnIT.parquet,6396,6396,6292,104,0,51168,52832,1664,0,7,ok
