team_model,phase,ok,message
RobertWalraven-ESG,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/RobertWalraven-ESG.yml
RPI_UW-Mob_Collision,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/RPI_UW-Mob_Collision.yml
SDSC_ISG-TrendModel,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/SDSC_ISG-TrendModel.yml
SGroup-RandomForest,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/SGroup-RandomForest.yml
SigSci-TS,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/SigSci-TS.yml
SteveMcConnell-CovidComplete,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/SteveMcConnell-CovidComplete.yml
STH-3PU,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/STH-3PU.yml
SWC-TerminusCM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/SWC-TerminusCM.yml
TTU-squider,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/TTU-squider.yml
UA-EpiCovDA,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UA-EpiCovDA.yml
UCF-AEM,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UCF-AEM.yml
UChicago-CovidIL_10_+,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UChicago-CovidIL_10_+.yml
UChicago-CovidIL_100,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UChicago-CovidIL_100.yml
UChicago-CovidIL_30_+,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UChicago-CovidIL_30_+.yml
UChicago-CovidIL_40,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UChicago-CovidIL_40.yml
UChicago-CovidIL_60,write,TRUE,wrote /Users/nick/Documents/research-versioned/covid19-forecast-hub-archive/model-metadata/UChicago-CovidIL_60.yml
